Player Id,Name,Retired,Debut_Year_Games,Height (inches),Weight (lbs),Debut_TD_INT,Debut_RUN_PASS,Debut_Completion_Percentage,Debut_Yards_per_game,Debut_Sacks_per_game,Debut_TD_per_game,Debut_Ints_per_game,Debut_Rush_per_game
a.j.feeley/2504566,"Feeley, A.J.",1,1,75,216,2,0,0.7142857142857143,143,0,2,1,0
aaronrodgers/2506363,"Rodgers, Aaron",1,3,74,225,0,0.1076923076923077,0.5625,21.666666666666668,1,0,0.3333333333333333,2.3333333333333335
ajmccarron/2543497,"McCarron, AJ",1,0,75,220,0,0,NA,NA,NA,NA,NA,NA
alanrisher/2524210,"Risher, Alan",1,16,74,190,0,10,NA,0,0,0,0,0.625
alexespinoza/2513700,"Espinoza, Alex",1,1,73,193,0,0.07246376811594203,0.6428571428571429,69,2,0,2,5
alexsmith/2506340,"Smith, Alex",1,9,76,217,0.09090909090909091,0.11771428571428572,0.509090909090909,97.22222222222223,3.2222222222222223,0.1111111111111111,1.2222222222222223,11.444444444444445
alextanney/2534870,"Tanney, Alex",1,0,76,220,0,0,NA,NA,NA,NA,NA,NA
alexvanpelt/2503454,"Van Pelt, Alex",1,0,73,220,0,0,NA,NA,NA,NA,NA,NA
alpastrana/2522827,"Pastrana, Al",1,4,73,190,0.1111111111111111,0.2210242587601078,0.373134328358209,92.75,2,0.25,2.25,20.5
andreware/2503535,"Ware, Andre",1,4,74,205,0.5,0.3902439024390244,0.43333333333333335,41,1,0.25,0.5,16
andrewluck/2533031,"Luck, Andrew",1,16,76,240,1.2777777777777777,0.05829903978052126,0.5406698564593302,273.375,2.5625,1.4375,1.125,15.9375
andrewwalter/2506408,"Walter, Andrew",1,0,78,230,0,0,NA,NA,NA,NA,NA,NA
andydalton/2495143,"Dalton, Andy",1,16,74,220,1.5384615384615385,0.04473219540906415,0.5813953488372093,212.375,1.5,1.25,0.8125,9.5
andyhall/2505960,"Hall, Andy",1,0,73,218,0,0,NA,NA,NA,NA,NA,NA
anthonydilweg/2512941,"Dilweg, Anthony",1,1,75,215,0,0,1,7,0,0,0,0
archiemanning/2520076,"Manning, Archie",1,10,75,212,0.8333333333333334,0.11596958174904944,0.5032258064516129,105.2,3.5,0.5,0.6,12.2
artschlichter/2525042,"Schlichter, Art",1,3,75,210,0,0.015228426395939087,0.4594594594594595,65.66666666666667,1,0,0.6666666666666666,1
babelaufenberg/2519150,"Laufenberg, Babe",1,0,74,198,0,0,NA,NA,NA,NA,NA,NA
benroethlisberger/2506109,"Roethlisberger, Ben",1,14,77,240,1.5454545454545454,0.05494086226631057,0.6644067796610169,187.21428571428572,2.142857142857143,1.2142857142857142,0.7857142857142857,10.285714285714286
bernardquarles/2523635,"Quarles, Bernard",1,1,74,215,1,0.2,0.3333333333333333,40,0,1,1,8
berniekosar/2501648,"Kosar, Bernie",1,12,77,214,1.1428571428571428,-0.0076045627376425855,0.5,131.5,1.5833333333333333,0.6666666666666666,0.5833333333333334,-1
billcappleman/2511038,"Cappleman, Bill",1,1,75,210,0,0,0.5714285714285714,49,0,0,0,0
billdemory/2512778,"Demory, Bill",1,6,74,195,0.25,-0.006289308176100629,0.3076923076923077,26.5,1.3333333333333333,0.3333333333333333,1.3333333333333333,-0.16666666666666666
billkenney/2518350,"Kenney, Bill",1,0,76,211,0,0,NA,NA,NA,NA,NA,NA
billnelsen/2522007,"Nelsen, Bill",1,12,72,195,1,-0.0018552875695732839,0.5079872204472844,179.66666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,-0.3333333333333333
billransdell/2523746,"Ransdell, Bill",1,0,74,212,0,0,NA,NA,NA,NA,NA,NA
billyjoetolliver/2503371,"Tolliver, Billy Joe",1,5,73,217,0.625,0,0.4810810810810811,219.4,1.8,1,1.6,0
billykilmer/2518441,"Kilmer, Billy",1,12,72,204,0.25,0.027643400138217002,0.5669642857142857,120.58333333333333,1.5833333333333333,0.3333333333333333,1.3333333333333333,3.3333333333333335
billyvolek/2503939,"Volek, Billy",1,0,74,214,0,0,NA,NA,NA,NA,NA,NA
blainegabbert/2495441,"Gabbert, Blaine",1,15,76,235,1.0909090909090908,0.044263775971093045,0.5084745762711864,147.6,2.6666666666666665,0.8,0.7333333333333333,6.533333333333333
blairkiel/2501608,"Kiel, Blair",1,10,72,200,0,0,NA,0,0,0,0,0
blakebortles/2543477,"Bortles, Blake",1,14,77,239,0.6470588235294118,0.14408528198074277,0.5894736842105263,207.71428571428572,3.9285714285714284,0.7857142857142857,1.2142857142857142,29.928571428571427
bobbelden/2509327,"Belden, Bob",1,0,74,210,0,0,NA,NA,NA,NA,NA,NA
bobbyscott/2525221,"Scott, Bobby",1,0,73,201,0,0,NA,NA,NA,NA,NA,NA
bobdavis/2512622,"Davis, Bob",1,1,74,205,0,0.16666666666666666,0.35294117647058826,66,0,0,0,11
bobgagliano/2500736,"Gagliano, Bob",1,0,75,205,0,0,NA,NA,NA,NA,NA,NA
bobleahy/2519217,"Leahy, Bob",1,1,74,205,0,-0.3333333333333333,0.2727272727272727,18,1,0,1,-6
boblee/2519294,"Lee, Bob",1,6,74,195,1,0.03278688524590164,0.5063291139240507,101.66666666666667,1,0.8333333333333334,0.8333333333333334,3.3333333333333335
bobnaponic/2521949,"Naponic, Bob",1,2,72,190,0,0.1411764705882353,0.3,42.5,4,0,1,6
boomeresiason/2500562,"Esiason, Boomer",1,10,77,224,1,0.11886792452830189,0.5,53,0.5,0.3,0.3,6.3
bradgoebel/2500825,"Goebel, Brad",1,5,75,214,0,0.00749063670411985,0.5357142857142857,53.4,1.2,0,1.2,0.4
bradjohnson/2501411,"Johnson, Brad",1,0,77,235,0,0,NA,NA,NA,NA,NA,NA
bradleevanpelt/2505971,"Van Pelt, Bradlee",1,3,74,220,0,6.857142857142857,0.25,2.3333333333333335,0,0,0,16
bradyquinn/2495714,"Quinn, Brady",1,1,75,235,0,0,0.375,45,0,0,0,0
brandonallen/2555365,"Allen, Brandon",0,0,74,219,0,0,NA,NA,NA,NA,NA,NA
brandondoughty/2555302,"Doughty, Brandon",0,0,75,217,0,0,NA,NA,NA,NA,NA,NA
brandonweeden/2532970,"Weeden, Brandon",1,15,76,230,0.8235294117647058,0.032791728212703104,0.574468085106383,225.66666666666666,1.8666666666666667,0.9333333333333333,1.1333333333333333,7.4
brendanfolmar/2514202,"Folmar, Brendan",1,1,73,200,0,0,NA,0,0,0,0,0
brentpease/2522942,"Pease, Brent",1,7,74,201,0.6,0.04532967032967033,0.49557522123893805,104,0.7142857142857143,0.42857142857142855,0.7142857142857143,4.714285714285714
brettbasanez/2495803,"Basanez, Brett",1,1,73,208,0,0.03571428571428571,0.5454545454545454,56,0,0,1,2
brettfavre/2500606,"Favre, Brett",1,2,74,222,0,0,0,0,0.5,0,1,0
bretthundley/2552588,"Hundley, Brett",1,0,75,226,0,0,NA,NA,NA,NA,NA,NA
brettratliff/2507276,"Ratliff, Brett",1,0,76,224,0,0,NA,NA,NA,NA,NA,NA
brianhoyer/81294,"Hoyer, Brian",1,5,74,215,0,0.176056338028169,0.7037037037037037,28.4,0.4,0,0,5
brianransom/2523747,"Ransom, Brian",1,0,75,205,0,0,NA,NA,NA,NA,NA,NA
brockosweiler/2533436,"Osweiler, Brock",1,5,80,235,0,-1.0833333333333333,0.5,2.4,0,0,0,-2.6
browningnagle/2502257,"Nagle, Browning",1,1,75,220,0,-0.1,0.5,10,0,0,0,-1
brucemathison/2520334,"Mathison, Bruce",1,1,75,205,0,0,0.6,41,0,0,1,0
brycepetty/2552369,"Petty, Bryce",1,0,75,230,0,0,NA,NA,NA,NA,NA,NA
buckyrichardson/2502648,"Richardson, Bucky",1,7,73,228,0,-1,NA,0,0.14285714285714285,0,0,-0.14285714285714285
buddylee/2519272,"Lee, Buddy",1,0,76,215,0,0,NA,NA,NA,NA,NA,NA
byronleftwich/2505673,"Leftwich, Byron",1,15,77,250,0.875,0.03831145796381696,0.5717703349282297,187.93333333333334,1.2666666666666666,0.9333333333333333,1.0666666666666667,7.2
calebhanie/2507385,"Hanie, Caleb",1,0,74,235,0,0,NA,NA,NA,NA,NA,NA
camnewton/2495455,"Newton, Cam",1,16,77,245,1.2352941176470589,0.17427795606023205,0.5996131528046421,253.1875,2.1875,1.3125,1.0625,44.125
cardalejones/2555426,"Jones, Cardale",0,1,77,250,0,-0.010416666666666666,0.5454545454545454,96,1,0,1,-1
carsonpalmer/2505245,"Palmer, Carson",1,0,77,235,0,0,NA,NA,NA,NA,NA,NA
carsonwentz/2555259,"Wentz, Carson",0,16,77,237,1.1428571428571428,0.03966155473294553,0.6243822075782537,236.375,2.0625,1,0.875,9.375
casekeenum/2532888,"Keenum, Case",1,8,73,205,1.5,0.04090909090909091,0.541501976284585,220,2.375,1.125,0.75,9
caseyweldon/2503589,"Weldon, Casey",1,3,73,206,0,0,0.5454545454545454,18.333333333333332,0.3333333333333333,0,0.3333333333333333,0
chadhenne/252,"Henne, Chad",1,3,75,219,0,0,0.5833333333333334,22.333333333333332,0,0,0,0
chadmay/2501919,"May, Chad",1,0,73,219,0,0,NA,NA,NA,NA,NA,NA
chadpennington/2504181,"Pennington, Chad",1,1,75,225,1,0,0.4,67,1,1,0,0
chandlerharnish/2532856,"Harnish, Chandler",1,0,74,222,0,0,NA,NA,NA,NA,NA,NA
charleyjohnson/2517588,"Johnson, Charley",1,10,73,200,0.5833333333333334,0.0018159806295399517,0.5124555160142349,165.2,1.5,0.7,1.2,0.3
charliebatch/2499567,"Batch, Charlie",1,12,74,216,1.8333333333333333,0.10514233241505969,0.570957095709571,181.5,3.0833333333333335,0.9166666666666666,0.5,19.083333333333332
chasedaniel/81284,"Daniel, Chase",1,0,72,225,0,0,NA,NA,NA,NA,NA,NA
chrischandler/2500048,"Chandler, Chris",1,15,76,224,0.6666666666666666,0.08585546633724521,0.5536480686695279,107.93333333333334,1.2,0.5333333333333333,0.8,9.266666666666667
chrisdittoe/2500407,"Dittoe, Chris",1,0,77,232,0,0,NA,NA,NA,NA,NA,NA
chrisredman/2504314,"Redman, Chris",1,2,75,225,0,0,0.6666666666666666,9.5,0,0,0,0
christianhackenberg/2555416,"Hackenberg, Christian",0,0,76,228,0,0,NA,NA,NA,NA,NA,NA
christianponder/2495215,"Ponder, Christian",1,11,74,230,1,0.1181867242309768,0.5429553264604811,168.45454545454547,2.727272727272727,1.1818181818181819,1.1818181818181819,19.90909090909091
chrisweinke/2504686,"Weinke, Chris",1,15,76,232,0.5789473684210527,0.04367110201296486,0.5425925925925926,195.4,1.7333333333333334,0.7333333333333333,1.2666666666666666,8.533333333333333
cleolemon/2504793,"Lemon, Cleo",1,0,74,215,0,0,NA,NA,NA,NA,NA,NA
cliffolander/2522428,"Olander, Cliff",1,2,77,191,0,0.39473684210526316,0.4375,38,0.5,0,1,15
codycarlson/2499989,"Carlson, Cody",1,0,75,202,0,0,NA,NA,NA,NA,NA,NA
codykessler/2555387,"Kessler, Cody",0,9,73,215,3,0.013043478260869565,0.6564102564102564,153.33333333333334,2.3333333333333335,0.6666666666666666,0.2222222222222222,2
codypickett/2505931,"Pickett, Cody",1,1,75,227,0,0.09090909090909091,0.4,55,2,0,2,5
colinkaepernick/2495186,"Kaepernick, Colin",1,3,76,230,0,-0.05714285714285714,0.6,11.666666666666666,0,0,0,-0.6666666666666666
coltmccoy/497123,"McCoy, Colt",1,8,73,215,0.6666666666666666,0.08629441624365482,0.6081081081081081,197,2.875,0.75,1.125,17
connorcook/2555332,"Cook, Connor",0,1,76,217,1,0,0.6666666666666666,150,2,1,1,0
connorshaw/2550252,"Shaw, Connor",1,1,73,210,0,0.05084745762711865,0.5,177,4,0,1,9
corysauter/2502842,"Sauter, Cory",1,0,76,216,0,0,NA,NA,NA,NA,NA,NA
craigerickson/2500559,"Erickson, Craig",1,6,74,213,0,-0.008264462809917356,0.5769230769230769,20.166666666666668,0.3333333333333333,0,0,-0.16666666666666666
craignall/2505146,"Nall, Craig",1,0,75,245,0,0,NA,NA,NA,NA,NA,NA
craigpenrose/2522986,"Penrose, Craig",1,4,75,211,1,-0.011320754716981131,0.4444444444444444,66.25,0,0.75,0.75,-0.75
craigwhelihan/2503609,"Whelihan, Craig",1,0,77,220,0,0,NA,NA,NA,NA,NA,NA
cullenfinnerty/2507303,"Finnerty, Cullen",1,0,74,223,0,0,NA,NA,NA,NA,NA,NA
curtispainter/81300,"Painter, Curtis",1,2,76,230,0,0.04819277108433735,0.2857142857142857,41.5,1.5,0,1,2
dakprescott/2555260,"Prescott, Dak",0,16,74,226,5.75,0.07690209980910827,0.6775599128540305,229.1875,1.5625,1.4375,0.25,17.625
dandarragh/2512467,"Darragh, Dan",1,3,75,196,0,0.36619718309859156,0.3793103448275862,23.666666666666668,1.6666666666666667,0,0.6666666666666666,8.666666666666666
danfouts/2514293,"Fouts, Dan",1,9,75,204,0.4166666666666667,0.016145307769929364,0.4438202247191011,110.11111111111111,1.5555555555555556,0.5555555555555556,1.3333333333333333,1.7777777777777777
dangonzalez/2500833,"Gonzalez, Dan",1,0,75,214,0,0,NA,NA,NA,NA,NA,NA
danlefevour/497119,"LeFevour, Dan",1,0,75,230,0,0,NA,NA,NA,NA,NA,NA
danmanucci/2520096,"Manucci, Dan",1,14,74,196,0,0,NA,0,0,0,0,0
danmarino/2501869,"Marino, Dan",1,11,76,228,3.3333333333333335,0.020361990950226245,0.5844594594594594,200.9090909090909,0.9090909090909091,1.8181818181818181,0.5454545454545454,4.090909090909091
dannykanell/2501560,"Kanell, Danny",1,4,75,218,1,0.02643171806167401,0.38333333333333336,56.75,1.75,0.25,0.25,1.5
danorlovsky/2506481,"Orlovsky, Dan",1,2,77,215,0,0,0.4117647058823529,31.5,0.5,0,0,0
danpastorini/2522826,"Pastorini, Dan",1,13,74,208,0.3333333333333333,0.08225616921269095,0.4703703703703704,130.92307692307693,1.5384615384615385,0.5384615384615384,1.6153846153846154,10.76923076923077
darrellhackney/2495842,"Hackney, Darrell",1,0,72,248,0,0,NA,NA,NA,NA,NA,NA
darylelamonica/2519016,"Lamonica, Daryle",1,12,75,215,1.2666666666666666,0.011299435028248588,0.49310344827586206,177,1.0833333333333333,1.5833333333333333,1.25,2
davebarr/2499554,"Barr, Dave",1,2,75,210,0,0.11904761904761904,0.5555555555555556,21,0.5,0,0,2.5
davedickenson/2504341,"Dickenson, Dave",1,0,71,185,0,0,NA,NA,NA,NA,NA,NA
davelewis/2519428,"Lewis, Dave",1,14,74,216,0,0.20512820512820512,0.75,2.7857142857142856,0,0,0,0.5714285714285714
davemays/2520441,"Mays, Dave",1,4,73,204,0,0.13861386138613863,0.45,25.25,0.5,0,0.25,3.5
daverader/2523678,"Rader, Dave",1,0,75,215,0,0,NA,NA,NA,NA,NA,NA
daveragone/2505594,"Ragone, Dave",1,2,75,221,0,0.37777777777777777,0.5,67.5,4,0,0.5,25.5
davewalter/2528179,"Walter, Dave",1,3,75,230,0,0.6194690265486725,0.47619047619047616,37.666666666666664,0.6666666666666666,0,0,23.333333333333332
davidarcher/2499447,"Archer, David",1,2,74,200,1,0.20994475138121546,0.6111111111111112,90.5,3.5,0.5,0.5,19
davidcarr/2504804,"Carr, David",1,16,75,212,0.6,0.1087962962962963,0.5247747747747747,162,4.75,0.5625,0.9375,17.625
davidfales/2543751,"Fales, David",1,0,73,212,0,0,NA,NA,NA,NA,NA,NA
