Player Id,Name,Retired,Age,Height (inches),Weight (lbs),First_Year,Last_Year,Experience,Total_Games,Passes Completed,Passes Attempted,Passing Yards,Sacks,Ints,TD Passes,Rushing Yards,TD_INT,RUN_PASS,Completion_Percentage,Era
a.j.feeley/2504566,"Feeley, A.J.",1,40,75,216,2001,2011,11,28,425,762,4618,44,31,28,49,0.9032258064516129,0.01061065396275444,0.5577427821522309,2000-2010
aaronrodgers/2506363,"Rodgers, Aaron",0,33,74,225,2005,2016,12,142,3034,4657,36827,341,72,297,2544,4.125,0.06907975126944904,0.6514923770667812,2000-2010
ajmccarron/2543497,"McCarron, AJ",0,26,75,220,2014,2016,3,8,79,119,854,12,2,6,31,3,0.03629976580796253,0.6638655462184874,2010+
alanrisher/2524210,"Risher, Alan",1,56,74,190,1985,1987,3,19,44,74,564,12,3,3,74,1,0.13120567375886524,0.5945945945945946,1980-1990
alexespinoza/2513700,"Espinoza, Alex",1,53,73,193,1987,1987,1,1,9,14,69,2,2,0,5,0,0.07246376811594203,0.6428571428571429,1980-1990
alexsmith/2506340,"Smith, Alex",0,33,76,217,2005,2016,12,141,2536,4108,27846,353,91,157,2078,1.7252747252747254,0.07462472168354521,0.617332035053554,2000-2010
alextanney/2534870,"Tanney, Alex",0,29,76,220,2013,2016,4,1,10,14,99,3,0,1,0,1,0,0.7142857142857143,2010+
alexvanpelt/2503454,"Van Pelt, Alex",1,47,73,220,1993,2003,11,31,262,477,2985,19,24,16,53,0.6666666666666666,0.017755443886097153,0.549266247379455,1990-1999
alpastrana/2522827,"Pastrana, Al",1,72,73,190,1970,1970,1,4,25,67,371,8,9,1,82,0.1111111111111111,0.2210242587601078,0.373134328358209,1970-1980
andreware/2503535,"Ware, Andre",1,48,74,205,1990,1993,4,14,83,161,1112,27,8,5,217,0.625,0.19514388489208634,0.515527950310559,1990-1999
andrewluck/2533031,"Luck, Andrew",0,27,76,240,2012,2016,5,70,1570,2651,19078,156,68,132,1442,1.9411764705882353,0.07558444281371213,0.5922293474160694,2010+
andrewwalter/2506408,"Walter, Andrew",1,35,78,230,2005,2008,4,15,174,333,1919,51,16,3,49,0.1875,0.02553413236060448,0.5225225225225225,2000-2010
andydalton/2495143,"Dalton, Andy",0,29,74,220,2011,2016,6,93,1920,3060,22214,181,81,142,950,1.7530864197530864,0.04276582335464122,0.6274509803921569,2010+
andyhall/2505960,"Hall, Andy",1,36,73,218,2005,2005,1,0,0,0,0,0,0,0,0,0,0,NA,2000-2010
anthonydilweg/2512941,"Dilweg, Anthony",1,52,75,215,1989,1990,2,10,102,193,1274,22,7,8,114,1.1428571428571428,0.08948194662480377,0.5284974093264249,1980-1990
archiemanning/2520076,"Manning, Archie",1,68,75,212,1971,1984,14,148,1986,3593,23512,389,169,122,2099,0.7218934911242604,0.0892735624362028,0.5527414416921792,1970-1980
artschlichter/2525042,"Schlichter, Art",1,57,75,210,1982,1985,4,13,91,202,1006,28,11,3,161,0.2727272727272727,0.16003976143141152,0.4504950495049505,1980-1990
babelaufenberg/2519150,"Laufenberg, Babe",1,57,74,198,1983,1990,8,16,93,211,1057,22,11,5,126,0.45454545454545453,0.11920529801324503,0.44075829383886256,1980-1990
benroethlisberger/2506109,"Roethlisberger, Ben",0,35,77,240,2004,2016,13,185,3804,5932,46814,456,160,301,1205,1.88125,0.02574016319904302,0.641267700606878,2000-2010
bernardquarles/2523635,"Quarles, Bernard",1,57,74,215,1987,1987,1,1,1,3,40,0,1,1,8,1,0.2,0.3333333333333333,1980-1990
berniekosar/2501648,"Kosar, Bernie",1,53,77,214,1985,1996,12,125,1973,3323,23103,270,86,124,260,1.441860465116279,0.01125394970350171,0.5937405958471261,1980-1990
billcappleman/2511038,"Cappleman, Bill",1,70,75,210,1970,1973,4,8,9,18,82,0,1,0,-2,0,-0.024390243902439025,0.5,1970-1980
billdemory/2512778,"Demory, Bill",1,66,74,195,1973,1974,2,7,12,39,159,8,8,2,-1,0.25,-0.006289308176100629,0.3076923076923077,1970-1980
billkenney/2518350,"Kenney, Bill",1,62,76,211,1979,1988,10,105,1330,2430,17277,195,86,105,191,1.2209302325581395,0.011055160039358684,0.5473251028806584,1970-1980
billnelsen/2522007,"Nelsen, Bill",1,76,72,195,1970,1972,3,30,347,669,4616,33,42,29,-24,0.6904761904761905,-0.005199306759098787,0.5186846038863976,1970-1980
billransdell/2523746,"Ransdell, Bill",1,54,74,212,1988,1988,1,0,0,0,0,0,0,0,0,0,0,NA,1980-1990
billyjoetolliver/2503371,"Tolliver, Billy Joe",1,51,73,217,1989,2000,12,79,891,1707,10760,125,64,59,320,0.921875,0.02973977695167286,0.5219683655536028,1980-1990
billykilmer/2518441,"Kilmer, Billy",1,77,72,204,1970,1978,9,93,1068,1991,13646,134,87,106,127,1.2183908045977012,0.009306756558698519,0.5364138623807132,1970-1980
billyvolek/2503939,"Volek, Billy",1,41,74,214,2000,2011,12,39,337,561,3754,49,15,27,28,1.8,0.007458710708577517,0.6007130124777184,2000-2010
blainegabbert/2495441,"Gabbert, Blaine",0,27,76,235,2011,2016,6,43,686,1226,7351,110,37,38,549,1.027027027027027,0.07468371650115631,0.5595432300163132,2010+
blairkiel/2501608,"Kiel, Blair",1,NA,72,200,1984,1991,8,25,108,193,1296,15,7,8,105,1.1428571428571428,0.08101851851851852,0.5595854922279793,1980-1990
blakebortles/2543477,"Bortles, Blake",0,25,77,239,2014,2016,3,46,1003,1706,11241,140,51,69,1088,1.3529411764705883,0.09678854194466685,0.5879249706916765,2010+
bobbelden/2509327,"Belden, Bob",1,69,74,210,1970,1970,1,0,0,0,0,0,0,0,0,0,0,NA,1970-1980
bobbyscott/2525221,"Scott, Bobby",1,68,73,201,1972,1982,11,41,237,500,2781,51,28,15,74,0.5357142857142857,0.02660913340524991,0.474,1970-1980
