Player_ID,Name,Retired,Debut_Age,Height (inches),Weight (lbs),First_Year,Career_Time,Career_Games,Debut_Year_Games,Three_Year_Games,TD_INT,Debut_TD_INT,Three_Year_TD_INT,Career_Run_Pass,Debut_Run_Pass,Three_Year_Run_Pass,Career_Completion_Percentage,Debut_Completion_Percentage,Three_Year_Completion_Percentage,Career_Yards_PG,Debut_Yards_PG,Three_Year_Yards_PG,Career_Sacks_PG,Debut_Sacks_PG,Three_Year_Sacks_PG,Career_TD_PG,Debut_TD_PG,Three_Year_TD_PG,Career_Ints_PG,Debut_Ints_PG,Three_Year_Ints_PG,Career_Rush_PG,Debut_Rush_PG,Three_Year_Rush_PG
a.j.feeley/2504566,"Feeley, A.J.",1,25,75,216,2001,11,28,1,7,0.9032258064516129,2,1.3333333333333333,0.01061065396275444,0,0.005199306759098787,0.5577427821522309,0.7142857142857143,0.5714285714285714,164.92857142857142,143,164.85714285714286,1.5714285714285714,0,1,1,2,1.1428571428571428,1.1071428571428572,1,0.8571428571428571,1.75,0,0.8571428571428571
aaronrodgers/2506363,"Rodgers, Aaron",0,22,74,225,2005,12,142,3,7,4.125,0,1,0.06907975126944904,0.1076923076923077,0.14285714285714285,0.6514923770667812,0.5625,0.5932203389830508,259.34507042253523,21.666666666666668,47,2.4014084507042255,1,1.2857142857142858,2.091549295774648,0,0.14285714285714285,0.5070422535211268,0.3333333333333333,0.14285714285714285,17.91549295774648,2.3333333333333335,6.714285714285714
ajmccarron/2543497,"McCarron, AJ",0,24,75,220,2014,3,8,0,8,3,0,3,0.03629976580796253,0,0.03629976580796253,0.6638655462184874,NA,0.6638655462184874,106.75,NA,106.75,1.5,NA,1.5,0.75,NA,0.75,0.25,NA,0.25,3.875,NA,3.875
alanrisher/2524210,"Risher, Alan",1,25,74,190,1985,3,19,16,19,1,0,1,0.13120567375886524,10,0.13120567375886524,0.5945945945945946,NA,0.5945945945945946,29.68421052631579,0,29.68421052631579,0.631578947368421,0,0.631578947368421,0.15789473684210525,0,0.15789473684210525,0.15789473684210525,0,0.15789473684210525,3.8947368421052633,0.625,3.8947368421052633
alexespinoza/2513700,"Espinoza, Alex",1,24,73,193,1987,1,1,1,1,0,0,0,0.07246376811594203,0.07246376811594203,0.07246376811594203,0.6428571428571429,0.6428571428571429,0.6428571428571429,69,69,69,2,2,2,0,0,0,2,2,2,5,5,5
alexsmith/2506340,"Smith, Alex",0,22,76,217,2005,12,141,9,32,1.7252747252747254,0.09090909090909091,0.6129032258064516,0.07462472168354521,0.11771428571428572,0.07245137849967942,0.617332035053554,0.509090909090909,0.54375,197.48936170212767,97.22222222222223,146.21875,2.50354609929078,3.2222222222222223,2.53125,1.1134751773049645,0.1111111111111111,0.59375,0.6453900709219859,1.2222222222222223,0.96875,14.73758865248227,11.444444444444445,10.59375
alextanney/2534870,"Tanney, Alex",0,26,76,220,2013,4,1,0,1,1,0,1,0,0,0,0.7142857142857143,NA,0.7142857142857143,99,NA,99,3,NA,3,1,NA,1,0,NA,0,0,NA,0
alexvanpelt/2503454,"Van Pelt, Alex",1,24,73,220,1993,11,31,0,1,0.6666666666666666,0,2,0.017755443886097153,0,0,0.549266247379455,NA,0.5555555555555556,96.29032258064517,NA,106,0.6129032258064516,NA,0,0.5161290322580645,NA,2,0.7741935483870968,NA,0,1.7096774193548387,NA,0
alpastrana/2522827,"Pastrana, Al",1,26,73,190,1970,1,4,4,4,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2210242587601078,0.2210242587601078,0.2210242587601078,0.373134328358209,0.373134328358209,0.373134328358209,92.75,92.75,92.75,2,2,2,0.25,0.25,0.25,2.25,2.25,2.25,20.5,20.5,20.5
andreware/2503535,"Ware, Andre",1,22,74,205,1990,4,14,4,9,0.625,0.5,0.6666666666666666,0.19514388489208634,0.3902439024390244,0.23067776456599287,0.515527950310559,0.43333333333333335,0.5431034482758621,79.42857142857143,41,93.44444444444444,1.9285714285714286,1,2.2222222222222223,0.35714285714285715,0.25,0.4444444444444444,0.5714285714285714,0.5,0.6666666666666666,15.5,16,21.555555555555557
