Player Id,Name,Retired,Height (inches),Weight (lbs),First_Year,Experience,Total_Games,TD_INT,RUN_PASS,Completion_Percentage,Era,Yards_per_game,Sacks_per_game,TD_per_game,Ints_per_game,Rush_per_game
a.j.feeley/2504566,"Feeley, A.J.",1,75,216,2001,11,28,0.9032258064516129,0.01061065396275444,0.5577427821522309,2000-2010,164.92857142857142,1.5714285714285714,1,1.1071428571428572,1.75
aaronrodgers/2506363,"Rodgers, Aaron",0,74,225,2005,12,142,4.125,0.06907975126944904,0.6514923770667812,2000-2010,259.34507042253523,2.4014084507042255,2.091549295774648,0.5070422535211268,17.91549295774648
ajmccarron/2543497,"McCarron, AJ",0,75,220,2014,3,8,3,0.03629976580796253,0.6638655462184874,2010+,106.75,1.5,0.75,0.25,3.875
alanrisher/2524210,"Risher, Alan",1,74,190,1985,3,19,1,0.13120567375886524,0.5945945945945946,1980-1990,29.68421052631579,0.631578947368421,0.15789473684210525,0.15789473684210525,3.8947368421052633
alexsmith/2506340,"Smith, Alex",0,76,217,2005,12,141,1.7252747252747254,0.07462472168354521,0.617332035053554,2000-2010,197.48936170212767,2.50354609929078,1.1134751773049645,0.6453900709219859,14.73758865248227
alextanney/2534870,"Tanney, Alex",0,76,220,2013,4,1,1,0,0.7142857142857143,2010+,99,3,1,0,0
alexvanpelt/2503454,"Van Pelt, Alex",1,73,220,1993,11,31,0.6666666666666666,0.017755443886097153,0.549266247379455,1990-1999,96.29032258064517,0.6129032258064516,0.5161290322580645,0.7741935483870968,1.7096774193548387
andreware/2503535,"Ware, Andre",1,74,205,1990,4,14,0.625,0.19514388489208634,0.515527950310559,1990-1999,79.42857142857143,1.9285714285714286,0.35714285714285715,0.5714285714285714,15.5
andrewluck/2533031,"Luck, Andrew",0,76,240,2012,5,70,1.9411764705882353,0.07558444281371213,0.5922293474160694,2010+,272.54285714285714,2.2285714285714286,1.8857142857142857,0.9714285714285714,20.6
andrewwalter/2506408,"Walter, Andrew",1,78,230,2005,4,15,0.1875,0.02553413236060448,0.5225225225225225,2000-2010,127.93333333333334,3.4,0.2,1.0666666666666667,3.2666666666666666
